"Year"	"Deaths"	"DeathsRate"	"Births"	"BirthRate"
1932	117593	17.97	185523	28.35
1933	111447	16.82	189583	28.62
1934	100651	14.96	208929	31.06
1935	101416	14.83	192511	28.16
1936	105005	15.14	193343	27.87
1937	105674	15.04	183878	26.16
1938	93766	13.17	184509	25.91
1939	100459	13.91	178852	24.77
1940	93830	12.82	179500	24.53
1955	54781	6.88	154263	19.37
1956	59460	7.4	158203	19.7
1957	61664	7.62	155940	19.26
1958	58160	7.12	155359	19.01
1959	60852	7.37	160199	19.4
1960	60563	7.27	157239	18.88
1961	63955	7.62	150716	17.95
1962	66554	7.88	152158	18.01
1963	66813	7.88	148249	17.48
1964	69429	8.16	153109	17.99
1965	67269	7.87	151448	17.71
1966	67912	7.88	154613	17.95
1967	71975	8.26	162839	18.68
1968	73309	8.39	160338	18.34
1969	71825	8.19	154077	17.56
1970	74009	8.42	144928	16.48
1971	73819	8.36	141126	15.98
1972	76859	8.65	140891	15.85
1973	77648	8.7	137526	15.4
1974	76303	8.51	144069	16.08
1975	80077	8.85	142273	15.73
1976	81818	8.93	146566	15.99
1977	83750	9	143739	15.44
1978	81615	8.65	146588	15.54
1979	82338	8.62	147965	15.5
1980	87282	9.05	148134	15.36
1981	86261	8.87	140953	14.49
1982	86345	8.82	137275	14.02
1983	90586	9.2	132608	13.47
1984	88397	8.93	125724	12.7
1985	92886	9.35	116481	11.73
1986	91783	9.21	112810	11.32
1987	95656	9.56	106392	10.64
1988	92407	9.21	107505	10.71
1989	92720	9.19	101657	10.08
1990	94152	9.27	102229	10.06
1991	95498	9.31	102620	10.01
1992	98231	9.47	104081	10.04
1993	97419	9.31	101799	9.73
1994	97807	9.27	103763	9.83
1995	100158	9.42	101495	9.54
1996	100740	9.41	100718	9.4
1997	99738	9.26	102038	9.47
1998	102668	9.48	100894	9.31
1999	103304	9.49	100643	9.25
2000	105170	9.63	103274	9.46
2001	102559	9.37	102282	9.34
2002	103915	9.46	103569	9.43
2003	105529	9.57	104420	9.47
2004	104942	9.49	105655	9.55
2005	105091	9.46	107545	9.69
2006	105476	9.46	112042	10.05
2007	109895	9.82	111926	10
2008	107979	9.61	118302	10.53
2009	108316	9.6	117933	10.45
2010	109084	9.65	114766	10.15
2011	111099	9.99	106428	9.57
2012	116668	10.52	100371	9.05
2013	111794	10.2	94134	8.51
2014	113740	10.41	92149	8.43
2015	121183	11.16	91847	8.48
2016	118785	11.02	92898	8.61
