"region","DieselBio_consumption2006","DieselBio_consumption2016","RON95_consumption2006","RON95_consumption2016"
"Boeotia",56574,59031.117,43063,27254.051
"Dodecanese",69112,45813.529,65972,54712.904
"Evros ",36165,53418.827,43683,22471.392
"Euboea",62590,54681.95,67132,45842.358
"Evrytania",4744,2543.974,4308,2133.221
"Zakynthos",9074,11477.666,15759,12994.519
"Ilia ",34035,37466.361,46767,33189.67
"Imathia",36394,46466.817,38747,26054.713
"Heraklion",68721,75293.855,85805,74003.176
"Ioannina",59665,50590.87,54417,36160.253
"Karditsa",20642,34068.982,26627,19221.239
"Corfu ",13112,20653.099,11818,30029.541
"Kilkis",21730,25788.184,26947,11029.841
"Kozani",71222,67713.265,43659,24378.185
"Corinthia",46647,46654.368,61546,38386.022
"Cyclades",37655,33253.088,30511,32622.828
"Laconia",24740,28065.943,24606,21624.791
"Larissa",70161,88119.498,84846,49342.886
"Lefkada",6251,7351.901,7112,6604.067
"Magnesia ",56475,48636.92,59713,38782.679
"Pella",43182,39149.394,32811,20714.273
"Rhodope",19830,31112.073,25357,15372.606
"Serres",34983,46128.314,42310,27475.196
"Chalkidiki",28640,47578.063,38550,27812.743
