"Male_sal","Female_sal"
6474,7147
6774,15522
NA,10357
8454,8677
7884,10687
NA,8317
8274,7867
8124,8797
8034,8605
8334,8647
9894,9937
7164,8227
NA,7417
8934,9907
8574,12427
7404,11697
11934,11097
NA,7567
7074,13897
NA,15897
8724,6157
10644,7717
9204,8017
8724,20297
7464,14147
7764,7765
10794,7297
9504,6157
9234,7357
9294,8047
7914,8377
14034,10947
6654,7657
8544,7567
8424,13972
10014,6367
7374,7087
8364,8017
8064,8047
7524,12147
8874,7627
8184,7237
8034,8587
7584,9757
11834,9397
7464,7957
8124,6247
7824,12897
8094,12897
7254,6967
7794,11022
9744,13297
12609,9937
NA,11097
NA,7447
7554,15747
8934,10117
NA,7807
6984,20022
8784,7207
10254,6997
8934,9037
8664,10579
14584,7237
NA,14272
8994,9967
NA,7357
NA,8407
7644,7897
8364,12897
8334,14897
7404,7477
NA,16397
8814,11897
8244,19147
8484,6547
9204,15647
13434,7327
8184,10357
7164,16072
10134,6637
9804,7297
7644,7951
7194,14897
8514,8287
7224,6697
8124,8227
8034,8227
9054,7777
NA,13777
9054,9097
6624,8527
7524,8047
7854,7087
8184,15647
NA,16597
8124,7087
9504,17897
8814,17522
NA,6397
