"Categories","UrbanAreas","Month","Volume"
1,1,1,212.027
2,1,1,56.628
3,1,1,7.107
4,1,1,48.336
5,1,1,116.631
6,1,1,142.952
1,1,2,339.555
2,1,2,16.856
3,1,2,12.844
4,1,2,43.753
5,1,2,122.093
6,1,2,131.649
1,1,3,198.503
2,1,3,18.034
3,1,3,7.953
4,1,3,222.004
5,1,3,57.72
6,1,3,95.528
1,2,1,69.532
2,2,1,6.178
3,2,1,3.069
4,2,1,30.397
5,2,1,88.125
6,2,1,48.017
1,2,2,96.696
2,2,2,2.516
3,2,2,11.513
4,2,2,10.098
5,2,2,46.562
6,2,2,3.459
1,2,3,118.592
2,2,3,5.355
3,2,3,4.968
4,2,3,95.668
5,2,3,34.533
6,2,3,30.402
1,3,1,73.007
2,3,1,33.49
3,3,1,3.053
4,3,1,7.981
5,3,1,8.314
6,3,1,4.548
1,3,2,135.664
2,3,2,6.429
3,3,2,650
4,3,2,27.664
5,3,2,11.68
6,3,2,101.302
1,3,3,33.597
2,3,3,2.14
3,3,3,2.859
4,3,3,116.561
5,3,3,17.453
6,3,3,11.061
